academia cursor	akatemian vahtimestari	academy janitor
kryddkrämare	maustekauppias	spice dealer, spice merchant
krypskytt	tarkka-ampuja, sala-ampuja	sniper
krämare	rihkamakauppias	haberdasher
krögare	krouvari	innkeeper
kuharkka	piika, palvelijatar (ven. kuharka)	maid
kurator	kuraattori, neuvonantaja, holhooja	counsellor, trustee, guadian, almoner
kurfurste	vaaliruhtinas	elector, electoral prince
kurir	sanansaattaja	messenger, courier
kusk	ajaja, ajuri, kuski	driver, coachman
kustroddare	rannikkovartija	coast guard
kustsergeant	rannikkovartioston kersantti	coast guard sergeant
kvacksalvare	puoskari	quacker, charlatan
kvarnmästare	myllymestari	miller-master
kvartermästare	majoitusmestari, aliperämies (laivasto)	quartermaster
kvarterman	majoittaja, majoitusmies	quarterman
kypare	viinuri	bartender, wine waiter
kyrckobyggmästare	kirkon rakennusmestari	church building contractor
kyrkofattig	kirkonköyhä, köyhä jonka elatuksen kirkko kustansi	poor people getting their living on welfare from the Church
kyrkoherde	kirkkoherra	vicar
kyrkopräst	kirkon pappi	priest, pastor
kyrkovakt, kyrkoväktare	suntio, unilukkari	church official, sexton, (tasks included church bell ringing and waking of those sleeping during sermon)
kyrkovärd	kirkkoväärti, kirkon hoitaja, kirkonisäntä	church-warden (a wealthy farmer that took responsibility in maintaining the Church building
kälkborgare	poroporvari, konttiporvari (ivallinen)	mocking name for the lower burghers
källarmästare	ravintoloitsija	restaurant-keeper
kämner, kämnär	kämneri, kaupungin alioikeuden eli kämnerioikeuden jäsen (lakkautettiin 1868); alkuaan kaupungin kassanhoitaja ja verojen kantaja	magistrate; originally city cashier and tax collector
kämpe	taistelija	champion, fighter
köksa	kyökkipiika, 'köksä'	kithcenmaid
köpman	kauppias	merchant
köpsvän	kaupustelija	dealer
körsnär	turkkuri	furrier
körsven	ajaja	driver
köttmångare	lihakauppias, teurastaja	meat-monger
laborator	lukija, apulaisprofessori	associate professor
ladugårdsarrendator	latokartanon l. kuninkaankartanon vuokraaja (yleensä säätyläinen)	person of a class renting a farm or ranch owned by the Crown
lagerchef	varaston esimies	stores manager
laggare	puuastioiden tekijä	cooper
lagman	laamanni, oikeuden puheenjohtaja; laamanninoikeus oli kihlakunnanoikeutta ylempi ja hovioikeutta alempi (lakkautettiin 1868)	chief judge of the District Court
lakej	lakeija	lackey
lancier	keihäs-ratsumies	cavalry spearman, lancer
landbonde	lampuoti, kokotilan vuokraaja	tenant farmer (renting the whole farm)
lands-	läänin-	...of district, ...of county, ...of province
landsfiskal	ylikonstaapeli	chief constable, sheriff
landsfodge	lääninvouti	county police commissioner, county sheriff
